Row Type,Action,Status,Campaign,Campaign Budget,Campaign Type,Bid Strategy Type,Network (Search Partners),Network (Display Network),Ad Group,Max CPC,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Description 1,Description 2,Path 1,Path 2,Callout text,Structured snippet header,Structured snippet values
Campaign,Add,Paused,GreenGuard — Brand,5.00,Search,Manual CPC,true,false,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,GreenGuard — Brand,,,,,,Brand Terms,2.00,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Brand,,,,,,Brand Terms,,greenguard usa,Exact,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Brand,,,,,,Brand Terms,,green guard usa,Exact,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Brand,,,,,,Brand Terms,,greenguard austin,Exact,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Brand,,,,,,Brand Terms,,greenguard mosquito control,Exact,,,,,,,,,,,,,,
Responsive search ad,Add,Enabled,GreenGuard — Brand,,,,,,Brand Terms,,,,https://www.greenguard-usa.com/,GreenGuard USA,CO2 Mosquito Control Austin,Pesticide-Free Trap Service,Austin TX - Local & Trusted,Free Property Assessment,No Contracts - Cancel Anytime,Pesticide-free CO2 mosquito traps serviced monthly. Free property assessment.,No contracts. Results in 30 days or we adjust. Austin-owned and operated.,mosquito,control,,,
Campaign,Add,Paused,GreenGuard — Local Service Austin,25.00,Search,Maximize Conversions,true,false,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,4.00,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,mosquito control austin,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,mosquito control austin tx,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,mosquito service austin,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,co2 mosquito control,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,pesticide free mosquito control,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,mosquito trap service austin,Phrase,,,,,,,,,,,,,,
Responsive search ad,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Austin,,,,https://www.greenguard-usa.com/book,Mosquito Control Austin TX,Pesticide-Free CO2 Traps,Free Property Assessment,Starting at $79 Per Month,No Pesticides - No Contracts,Austin-Owned and Operated,We install and maintain CO2 mosquito traps on your property. No pesticides ever.,"Starting at $79/mo. Catch 1,000+ mosquitoes per night. Book a free walkthrough.",austin,mosquito,,,
