date,tag,asset,download_count,delta
2026-09-24,dnp3-v0.1.0-3.0,DNP3-Driver.modl,4,
2026-09-24,dnp3-v0.1.0-3.0,NOTES.md,0,
2026-09-24,dnp3-v0.1.0-3.0,SHA256SUMS.txt,1,
2026-09-24,dnp3-v0.1.1-3.0,DNP3-Driver.modl,1,
2026-09-24,dnp3-v0.1.1-3.0,SHA256SUMS.txt,0,
2026-09-24,fleetops-v0.2.0,SHA256SUMS,1,
2026-09-24,fleetops-v0.2.0,SparkBridge-FleetOps-0.2.0.modl,2,
2026-09-24,fleetops-v0.2.0,sparkbridge-signing-cert.pem,0,
2026-09-24,fleetops-v0.3.0,NOTES.md,2,
2026-09-24,fleetops-v0.3.0,SHA256SUMS.txt,3,
2026-09-24,fleetops-v0.3.0,SparkBridge-FleetOps.modl,5,
2026-09-24,fleetops-v0.3.1,SHA256SUMS.txt,1,
2026-09-24,fleetops-v0.3.1,SparkBridge-FleetOps.modl,2,
2026-09-24,iec104-v0.1.0-3.0,IEC104-Driver.modl,3,
2026-09-24,iec104-v0.1.0-3.0,NOTES.md,0,
2026-09-24,iec104-v0.1.0-3.0,SHA256SUMS.txt,1,
2026-09-24,iec104-v0.1.1-3.0,IEC104-Driver.modl,2,
2026-09-24,iec104-v0.1.1-3.0,SHA256SUMS.txt,1,
2026-09-24,spark61850-v0.1.0,spark61850-0.1.0-ign81-bundle.zip,0,
2026-09-24,spark61850-v0.1.0,spark61850-0.1.0-ign83-bundle.zip,0,
2026-09-24,spark61850-v0.1.1,spark61850-0.1.1-ign81-bundle.zip,1,
2026-09-24,spark61850-v0.1.1,spark61850-0.1.1-ign83-bundle.zip,1,
2026-09-24,spark61850-v0.1.1-3.0,NOTES.md,0,
2026-09-24,spark61850-v0.1.1-3.0,SHA256SUMS.txt,1,
2026-09-24,spark61850-v0.1.1-3.0,Spark61850.modl,3,
2026-09-24,spark61850-v0.1.2-3.0,SHA256SUMS.txt,0,
2026-09-24,spark61850-v0.1.2-3.0,Spark61850.modl,1,
2026-09-24,sparkads-v0.1.0,sparkads-0.1.0-ign81-bundle.zip,0,
2026-09-24,sparkads-v0.1.0,sparkads-0.1.0-ign83-bundle.zip,0,
2026-09-24,sparkads-v0.1.1,sparkads-0.1.1-ign81-bundle.zip,1,
2026-09-24,sparkads-v0.1.1,sparkads-0.1.1-ign83-bundle.zip,1,
2026-09-24,sparkads-v0.1.1-3.0,NOTES.md,0,
2026-09-24,sparkads-v0.1.1-3.0,SHA256SUMS.txt,1,
2026-09-24,sparkads-v0.1.1-3.0,SparkADS.modl,3,
2026-09-24,sparkads-v0.1.2-3.0,SHA256SUMS.txt,1,
2026-09-24,sparkads-v0.1.2-3.0,SparkADS.modl,2,
2026-09-24,sparkbacnet-v0.1.0,sparkbacnet-0.1.0-ign81-bundle.zip,0,
2026-09-24,sparkbacnet-v0.1.0,sparkbacnet-0.1.0-ign83-bundle.zip,0,
2026-09-24,sparkbacnet-v0.1.1,sparkbacnet-0.1.1-ign81-bundle.zip,1,
2026-09-24,sparkbacnet-v0.1.1,sparkbacnet-0.1.1-ign83-bundle.zip,1,
2026-09-24,sparkbacnet-v0.1.1-3.0,NOTES.md,1,
2026-09-24,sparkbacnet-v0.1.1-3.0,SHA256SUMS.txt,2,
2026-09-24,sparkbacnet-v0.1.1-3.0,SparkBACnet.modl,5,
2026-09-24,sparkbacnet-v0.1.2-3.0,SHA256SUMS.txt,0,
2026-09-24,sparkbacnet-v0.1.2-3.0,SparkBACnet.modl,1,
2026-09-24,sparkgantt-v0.1.0,sparkgantt-0.1.0-ign81-bundle.zip,0,
2026-09-24,sparkgantt-v0.1.0,sparkgantt-0.1.0-ign83-bundle.zip,0,
2026-09-24,sparkgantt-v0.1.1,sparkgantt-0.1.1-ign81-bundle.zip,1,
2026-09-24,sparkgantt-v0.1.1,sparkgantt-0.1.1-ign83-bundle.zip,1,
2026-09-24,sparkgantt-v0.1.1-3.0,NOTES.md,1,
2026-09-24,sparkgantt-v0.1.1-3.0,SHA256SUMS.txt,2,
2026-09-24,sparkgantt-v0.1.1-3.0,SparkGantt.modl,4,
2026-09-24,sparkgantt-v0.1.2-3.0,SHA256SUMS.txt,0,
2026-09-24,sparkgantt-v0.1.2-3.0,SparkGantt.modl,1,
