Ref,Val,Package,PosX,PosY,Rot,Side
C1,100uF 16V,CP_Radial_D6.3mm_P2.50mm,8.000000,-26.000000,0.000000,top
C2,100nF,C_0805_2012Metric,32.000000,-8.000000,0.000000,top
C3,100nF,C_0805_2012Metric,61.000000,-5.000000,0.000000,top
C4,"""100nF""",C_0805_2012Metric,61.000000,-14.000000,0.000000,top
D1,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,8.000000,-42.000000,0.000000,top
D2,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,52.000000,-44.000000,0.000000,top
D3,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,52.000000,-47.000000,0.000000,top
D4,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,20.000000,-42.000000,0.000000,top
D5,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,14.000000,-38.500000,0.000000,top
F1,Polyfuse 1A,Fuse_1812_4532Metric,8.000000,-36.000000,0.000000,top
J1,9V_BATTERY,"PhoenixContact_MKDS_1,5_2-5.08mm_Angled",5.000000,-40.000000,0.000000,top
J2,SOLENOID,"PhoenixContact_MKDS_1,5_2-5.08mm_Angled",65.000000,-40.000000,0.000000,top
J3,ICSP,PinHeader_2x03_P2.54mm_Vertical,8.000000,-12.000000,0.000000,top
J4,TM1637,PinHeader_1x04_P2.54mm_Vertical,35.000000,-5.000000,0.000000,top
J5,DC_9-12V,BarrelJack_CUI_PJ-002A,63.000000,-8.000000,0.000000,top
J6,9V_BATTERY_2,"PhoenixContact_MKDS_1,5_2-5.08mm_Angled",14.000000,-40.000000,0.000000,top
R1,10K_RESET,R_0805_2012Metric,32.000000,-14.000000,0.000000,top
R2,10K_BTN_UP,R_0805_2012Metric,20.000000,-36.000000,0.000000,top
R3,10K_BTN_SET,R_0805_2012Metric,33.000000,-36.000000,0.000000,top
R5,4K7_SDA,R_0805_2012Metric,38.000000,-14.000000,0.000000,top
R6,10K_INT,R_0805_2012Metric,44.000000,-14.000000,0.000000,top
R7,4K7_SCL,R_0805_2012Metric,50.000000,-14.000000,0.000000,top
SW1,UP,SW_PUSH_6mm,27.000000,-46.000000,0.000000,top
SW2,SET,SW_PUSH_6mm,40.000000,-46.000000,0.000000,top
U1,ATtiny84A-20PU,DIP-14_W7.62mm,20.000000,-27.000000,0.000000,top
U2,DS3231M,SO-16_W7.5mm_P1.27mm,52.000000,-18.000000,0.000000,top
U3,MCP1703A-3302E,SOT-23,38.000000,-8.000000,0.000000,top
U4,DRV8833PWP,TSSOP-16_4.4x5mm_P0.65mm,52.000000,-36.000000,0.000000,top
