Designator,Mid X,Mid Y,Layer,Rotation
C1,16.000000,-12.000000,top,0.000000
C2,22.000000,-20.000000,top,0.000000
C3,44.000000,-20.000000,top,0.000000
D1,8.000000,-25.000000,top,0.000000
D2,52.000000,-10.000000,top,0.000000
F1,8.000000,-5.000000,top,0.000000
H1,3.000000,-3.000000,top,0.000000
H2,57.000000,-3.000000,top,0.000000
H3,3.000000,-37.000000,top,0.000000
H4,57.000000,-37.000000,top,0.000000
J1,5.000000,-35.000000,top,0.000000
J2,55.000000,-35.000000,top,0.000000
J3,8.000000,-15.000000,top,0.000000
LED1,20.000000,-5.000000,top,0.000000
LED2,28.000000,-5.000000,top,0.000000
Q1,52.000000,-32.000000,top,0.000000
R1,35.000000,-13.000000,top,0.000000
R3,22.000000,-10.000000,top,0.000000
R4,30.000000,-10.000000,top,0.000000
R5,42.000000,-13.000000,top,0.000000
R6,46.000000,-28.000000,top,0.000000
R7,42.000000,-17.000000,top,0.000000
SW1,30.000000,-35.000000,top,0.000000
U1,30.000000,-20.000000,top,0.000000
U2,50.000000,-20.000000,top,0.000000
U3,8.000000,-8.000000,top,0.000000
