Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF_16V","CP_Radial_D6.3mm_P2.50mm",58.000000,-24.000000,0.000000,top
"C2","100nF_U1","C_0805_2012Metric",22.000000,-14.000000,0.000000,top
"C3","100nF_U2","C_0805_2012Metric",50.000000,-14.000000,0.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",8.000000,-22.000000,0.000000,top
"D2","1N4007_INT","D_DO-41_SOD81_P10.16mm_Horizontal",38.000000,-35.000000,0.000000,top
"D3","1N4007_FLYBACK","D_DO-41_SOD81_P10.16mm_Horizontal",58.000000,-12.000000,0.000000,top
"F1","1A_Polyfuse","Fuse_1812_4532Metric",8.000000,-5.000000,0.000000,top
"H1","","MountingHole_3.2mm_M3",3.000000,-3.000000,0.000000,top
"H2","","MountingHole_3.2mm_M3",62.000000,-3.000000,0.000000,top
"H3","","MountingHole_3.2mm_M3",3.000000,-42.000000,0.000000,top
"H4","","MountingHole_3.2mm_M3",62.000000,-42.000000,0.000000,top
"J1","9V_IN","PhoenixContact_MKDS_1,5_2-5.08mm_Angled",5.000000,-38.000000,0.000000,top
"J2","SOLENOID","PhoenixContact_MKDS_1,5_2-5.08mm_Angled",60.000000,-38.000000,0.000000,top
"J3","ICSP","PinHeader_2x03_P2.54mm_Vertical",8.000000,-14.000000,0.000000,top
"J4","TM1637","PinHeader_1x04_P2.54mm_Vertical",32.000000,-5.000000,0.000000,top
"Q1","IRL540NPBF","TO-220-3_Vertical",58.000000,-35.000000,0.000000,top
"R1","10K_RESET","R_0805_2012Metric",30.000000,-14.000000,0.000000,top
"R2","10K_BTN_UP","R_0805_2012Metric",20.000000,-35.000000,0.000000,top
"R3","10K_BTN_SET","R_0805_2012Metric",33.000000,-35.000000,0.000000,top
"R4","100R_GATE","R_0805_2012Metric",48.000000,-35.000000,0.000000,top
"R5","4K7_SDA","R_0805_2012Metric",42.000000,-14.000000,0.000000,top
"R6","10K_INT","R_0805_2012Metric",42.000000,-18.000000,0.000000,top
"SW1","UP","SW_PUSH_6mm",25.000000,-40.000000,0.000000,top
"SW2","SET","SW_PUSH_6mm",38.000000,-40.000000,0.000000,top
"U1","ATtiny85-20PU","DIP-8_W7.62mm",22.000000,-24.000000,0.000000,top
"U2","DS3231SN","SO-16_W7.5mm_P1.27mm",50.000000,-24.000000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",8.000000,-8.000000,0.000000,top
